country,year,NY.GDP.MKTP.KD
Canada,2016,1822735534879.33
Canada,2015,1796369375909.66
Canada,2014,1779611206826.42
Canada,2013,1735100681636.87
Canada,2012,1693194096275.46
Canada,2011,1664146873841.15
Canada,2010,1613464422811.13
Canada,2009,1565201220603.96
Canada,2008,1612771324291.35
Canada,2007,1596797584439.46
