,0
0,100
1,99.7728837
2,99.82769148
3,99.93799842
4,99.89189543
5,99.80177941
6,99.94169107
7,99.85648572
8,99.74048572
9,99.69093405
10,99.63490714
11,99.66219821
12,99.51623133
13,99.64997445
14,99.45324565
15,99.15393623
16,99.57275578
17,99.35765875
18,98.9905803
19,99.05428046
20,99.09806765
21,98.89954385
22,98.41551684
23,98.53109863
24,99.3805823
25,99.33272748
26,99.3681548
27,99.25829172
28,99.04148142
29,99.43305822
30,99.18248909
31,99.3214357
32,99.67656331
33,99.858977
34,100.2448504
35,99.95075235
36,99.67589721
37,99.75707698
38,100.151432
39,100.0956965
40,99.56477513
41,99.56477513
42,99.56477513
43,99.82671829
44,100.0287128
45,100.1919431
46,100.0680847
47,100.0680847
48,99.80883587
49,99.69610667
50,100.4232104
51,100.4232104
52,100.4232104
53,100.6286879
54,100.6392408
55,100.8341192
56,100.8341192
57,100.8341192
58,100.6519397
59,100.259242
60,100.2376336
61,100.1453071
62,100.6673554
63,100.0438492
64,100.0438492
65,100.0438492
66,100.0438492
67,100.4560106
68,100.1618037
69,100.5098895
70,100.5042765
71,100.4422159
72,100.3314821
73,100.3496967
74,100.7881084
75,100.6811128
76,100.7975732
77,101.0978821
78,101.5474514
79,99.29334871
80,101.3410784
81,101.2507014
82,101.2499437
83,100.9949204
84,101.3588375
85,101.4252486
86,101.2078997
87,101.3427836
88,100.9998254
89,101.2697436
90,101.2839324
91,100.8996496
92,100.8695508
93,100.7477278
94,100.5549859
95,100.7655703
96,100.9140331
97,100.7748453
98,100.4203337
99,100.8023254
100,100.5533967
101,100.7007151
102,100.3369243
103,100.4059633
104,100.2956908
105,99.72298822
106,100.4391863
107,99.55121605
108,100.1948435
109,100.0877817
110,100.4436124
111,100.4650311
112,100.0120242
113,99.97170115
114,99.98565327
115,100.4143308
116,100.4143308
117,100.635807
118,100.2673012
119,100.2648851
120,100.4213807
121,101.385741
122,100.3289717
123,102.0251245
124,101.7533447
125,101.8139938
126,101.9442937
127,101.8781086
128,102.0485599
129,102.2299582
130,102.0556126
131,101.9037829
132,102.2102981
133,102.1376163
134,102.1409603
135,102.0946652
136,102.3656229
137,102.3437765
138,102.3437765
139,102.6645467
140,102.7328601
141,102.5634812
142,102.4580843
143,102.2026851
144,102.2302687
145,102.1770677
146,101.740128
147,101.3016415
148,101.5517865
149,101.6559739
150,101.5439179
151,101.6421391
152,101.7108034
153,101.8352487
154,101.7073367
155,101.4915785
156,101.6948581
157,101.6728407
158,101.8655481
159,102.1811947
160,102.020472
161,102.2568823
162,102.115709
163,101.974751
164,101.3317128
165,101.8627726
166,101.8511237
167,101.7633862
168,101.5767774
169,101.7256918
170,101.9143979
171,102.1143916
172,101.9307569
173,101.869086
174,102.024603
175,101.935034
176,101.7987517
177,101.637659
178,101.4171596
179,101.5690118
180,101.7795201
181,101.7795201
182,101.4902239
183,101.7643224
184,101.836996
185,101.7489822
186,102.7707979
187,101.9432239
188,101.7395995
189,101.6578649
190,101.8513844
191,101.93276
192,102.0438642
193,101.9140485
194,101.9940812
195,101.8070925
196,101.6296624
197,101.545261
198,101.7244713
199,101.8649563
200,101.5228567
201,101.5415608
202,101.558793
203,101.4736625
204,101.4736625
205,101.4736625
206,101.4736625
207,101.4736625
208,101.4736625
209,101.4736625
210,101.4736625
211,101.4736625
212,101.4736625
213,101.4736625
214,101.4736625
215,101.4736625
216,101.4736625
217,101.4736625
218,101.4736625
219,101.4736625
220,101.4736625
221,101.4579422
222,101.783808
223,101.8312061
224,101.9339977
225,101.6643028
226,101.5124668
227,101.5383493
228,101.6200952
229,102.0723793
230,100.6443941
231,102.66372
232,102.809042
233,102.9810512
234,102.4002646
235,102.7558681
236,102.4922511
237,102.4774238
238,102.544013
239,102.0618614
240,102.4241343
241,102.0210339
242,101.9601131
243,101.9198005
244,102.0450681
245,101.9967073
246,103.0058424
247,103.0481067
248,102.9301264
249,103.2242302
250,102.772776
251,102.6741238
252,101.0410125
253,102.3559517
254,102.8667975
255,103.1532099
256,102.7296542
257,102.7225111
258,102.5997636
259,102.633535
260,103.2422688
261,103.7234063
262,103.7794148
263,103.0527624
264,103.5464706
265,103.769282
266,104.3173697
267,103.103176
268,104.7257378
269,105.1979273
270,105.1593389
271,104.6050812
272,103.838562
273,103.399408
274,103.8012337
275,103.8822434
276,103.770171
277,103.8841947
278,103.4351451
279,103.2562379
280,102.7639031
281,102.6970058
282,103.0885335
283,103.1816046
284,103.241492
285,102.9406038
286,102.4904512
287,102.8187982
288,102.7257777
289,103.313029
290,102.7326442
291,102.2966196
292,102.6724836
293,102.3316719
294,103.2606191
295,100.3983767
296,103.2974837
297,103.3815008
298,102.7835368
299,102.6174874
300,102.6869039
301,102.4038793
302,102.9370783
303,103.4510683
304,102.9011191
305,104.0754141
306,103.926072
307,104.4070648
308,103.9888905
309,104.127995
310,104.4418835
311,104.6400082
312,105.4670818
313,104.8525565
314,103.5614998
315,103.1364668
316,103.404604
317,102.7507568
318,102.0931823
319,102.4108811
320,102.7239225
321,103.1986578
322,103.1276995
323,103.390123
324,103.3458097
325,103.5133707
326,103.3866912
327,103.6674171
328,103.7031212
329,103.3837861
330,102.8929575
331,102.9155356
332,103.1337958
333,103.2643283
334,103.3961003
335,103.5859954
336,103.3681133
337,103.4438507
338,104.1293882
339,104.30634
340,103.9964926
341,103.5992155
342,103.6769459
343,103.5139016
344,103.8135997
345,103.5250439
346,103.4755193
347,103.5918548
348,103.5917181
349,102.6251341
350,103.2536068
351,103.6860566
352,103.5742629
353,102.8769228
354,102.957622
355,102.7691606
356,103.1210906
357,103.0321352
358,102.8375998
359,103.2487318
360,103.1189456
361,103.6867383
362,103.5275308
363,103.3481014
364,102.503183
365,102.6041354
366,102.9362497
367,102.3722918
368,101.6403462
369,101.6869995
370,102.1580444
371,102.2785165
372,102.2240005
373,102.4149006
374,102.6563093
375,102.574475
376,102.5390169
377,102.5058409
378,102.8825403
379,102.4170451
380,102.7074122
381,102.6232047
382,102.2361208
383,102.6596486
384,102.4998059
385,102.4998059
386,103.5231055
387,103.5740797
388,103.9523897
389,104.1804401
390,104.025569
391,104.2566467
392,103.9780745
393,104.0440783
394,104.1433771
395,104.2647005
396,103.9706894
397,104.2248855
398,104.7223052
399,104.7839089
400,104.7564289
401,104.7887682
402,104.6553369
403,104.7063725
404,104.631051
405,104.2815419
406,104.2680088
407,104.1220385
408,104.1787157
409,103.8132267
410,104.1725382
411,103.9427193
412,103.4392437
413,103.6388763
414,104.1124294
415,103.7416855
416,103.6847644
417,103.6230836
418,103.6426562
419,103.3029058
420,103.3682479
421,103.1930971
422,103.241008
423,102.9706905
424,103.3355501
425,103.6502746
426,103.0345849
427,103.1718935
428,103.0912075
429,103.3864138
430,103.3525982
431,103.0564055
432,103.3618586
433,103.2374448
434,102.9665434
435,103.2470128
436,103.0499239
437,103.0821597
438,103.0757204
439,102.4102157
440,103.1153195
441,103.5240731
442,103.389762
443,103.3205253
444,103.2368729
445,103.0602014
446,103.1128666
447,102.8384665
448,102.6365491
449,102.7146972
450,102.7173278
451,102.7788426
452,102.7631473
453,102.4800509
454,102.8018124
455,103.1086256
456,102.9002737
457,102.8439455
458,103.071083
459,103.0900537
460,102.8984799
461,102.9728471
462,103.2508403
463,103.2096796
464,102.8087849
465,102.7154639
466,102.7255708
467,102.6462299
468,102.7778377
469,103.1337278
470,103.0228098
471,102.7675967
472,102.9157928
473,102.5710507
474,102.8500152
475,102.4981826
476,102.5439146
477,102.4522933
478,102.6735536
479,102.6589397
480,102.3327071
481,102.491718
482,102.6797281
483,102.5457402
484,102.3324812
485,102.5724835
486,102.8744402
487,102.7244303
488,102.8558861
489,102.6867035
490,102.9818101
491,102.9512171
492,103.0001375
493,102.6593117
494,102.6980981
495,102.7181777
496,102.7201443
497,103.2438466
498,102.813211
499,102.8798212
500,102.9336713
501,103.1170213
502,102.831696
503,102.6267231
504,103.0493398
505,102.7720709
506,102.9095937
507,103.3268364
508,103.2694051
509,103.10035
510,103.3755804
511,103.4489825
512,103.6379315
513,103.9783563
514,103.8338025
515,103.5835
516,103.4433117
517,103.500289
518,103.5518681
519,103.5344491
520,103.4993504
521,103.3357652
522,103.2965437
523,103.1351208
524,103.1510953
525,103.3659831
526,103.573408
527,103.3385704
528,103.5073021
529,103.4445788
530,103.6034668
531,103.5255582
532,103.4460045
533,103.3928045
534,103.5688537
535,103.4623546
536,103.3537146
537,103.5062019
538,103.7050365
539,103.6806259
540,103.5240532
541,103.7397982
542,103.7059186
543,103.5320433
544,103.7411512
545,103.6108576
546,103.6135847
547,103.4997259
548,103.2488798
549,103.2450205
550,103.5419259
551,103.4286603
552,103.5892974
553,103.5604079
554,103.870681
555,103.7851045
556,103.9415912
557,104.0400013
558,104.1569613
559,104.329564
560,104.1404159
561,104.2778843
562,104.1541242
563,104.3479417
564,104.5387851
565,104.4537195
566,104.5512664
567,104.1140445
568,104.0208288
569,104.0208288
570,104.3362034
571,104.4529436
572,104.5848455
573,104.6640991
574,104.6640991
575,104.8299133
576,104.9138564
577,105.088212
578,105.1598109
579,104.9611886
580,105.0687871
581,104.8696759
582,105.0114924
583,105.0740323
584,105.0747054
585,105.1980523
586,105.3964235
587,105.2478316
588,104.9729968
589,104.873281
590,105.2166242
591,105.2465568
592,105.2865904
593,105.5499051
594,105.7952293
595,105.359357
596,105.2508708
597,105.2407135
598,105.05551
599,105.1256153
600,105.1606974
601,105.1747022
602,105.2309917
603,105.7614224
604,105.8968679
605,105.9063925
606,105.9747049
607,106.3910646
608,106.3141914
609,105.9221558
610,106.0863751
611,106.229143
612,106.2749129
613,106.3062159
614,106.1383331
615,106.4604761
616,106.296499
617,106.2883482
618,106.555236
619,106.4327576
620,106.642778
621,106.7017064
622,106.6752252
623,106.5534041
624,106.5250018
625,106.5351094
626,106.4449313
627,106.545227
628,106.7492033
629,106.9089333
630,106.6223179
631,106.744298
632,107.088319
633,107.1295706
634,107.2139686
635,107.2195811
636,107.2824315
637,107.0835387
638,106.9611925
639,107.0686174
640,107.1743506
641,107.4035857
642,107.6446359
643,107.6949981
644,107.5507572
645,107.1941552
646,107.0314856
647,108.3413333
648,108.4673974
649,108.5642628
650,108.4994849
651,108.8285257
652,109.1154833
653,109.5609982
654,109.4700307
655,109.5718353
656,109.804968
657,109.7117095
658,109.884171
659,109.6964823
660,110.055715
661,110.1453647
662,109.6532009
663,109.3977317
664,109.8269374
665,110.6304999
666,110.7888841
667,111.036816
668,111.1433783
669,111.4510787
670,111.3181399
671,111.4536409
672,110.9224961
673,109.8462539
674,109.7340062
675,110.2194015
676,110.0681745
677,110.4230569
678,110.6337146
679,110.3274547
680,110.8540521
681,110.1338925
682,110.8052028
683,110.7578996
684,111.0473903
685,110.847968
686,111.0133979
687,110.8010111
688,110.9516279
689,111.2513016
690,111.1887609
691,111.1676299
692,111.0486001
693,110.8135601
694,111.2565593
695,111.961232
696,111.4642739
697,111.1079104
698,110.7632881
699,110.8806643
700,111.1775362
701,110.3568368
702,110.4175389
703,110.3009826
704,109.8477788
705,109.9631147
706,109.9551602
707,110.1646634
708,110.4125924
709,110.367744
710,110.4426299
711,110.5493824
712,110.5322876
713,109.9599613
714,109.8883641
715,109.7683187
716,110.101915
717,110.0036907
718,110.0745533
719,110.1740904
720,110.5778085
721,110.5564854
722,110.1858239
723,110.1180862
724,110.3642485
725,110.705653
726,110.3920896
727,110.3924483
728,110.4435367
729,110.2295858
730,110.3365971
731,110.5573297
732,110.2652023
733,110.358691
734,110.914205
735,110.8894181
736,110.7757528
737,111.1242636
738,111.3694666
739,111.360313
740,111.4017353
741,111.7707283
742,111.3521629
743,111.6384754
744,111.6578577
745,111.7648328
746,111.7921142
747,111.7760104
748,111.9650773
749,112.013952
750,111.7826511
751,111.7714129
752,111.9975168
753,112.2456211
754,112.4215439
755,112.5935566
756,112.2147616
757,111.9733318
758,111.9413442
759,111.8029396
